N	10000
lakossag	10000
alfa (megbetegedesi valoszinuseg)	0.300000
beta (gyogyulasi valoszinuseg)	0.100000
gamma (oltva megbetegedesi valoszinuseg)	0.000000
veletlen_keveredes	1
idoegyseg	beteg	erzekeny	gyogyult
0	10	9990	0
10	10	9990	0
20	10	9990	0
30	10	9990	0
40	10	9990	0
50	10	9990	0
60	10	9990	0
70	10	9990	0
80	10	9990	0
90	10	9990	0
100	10	9990	0
110	10	9990	0
120	10	9990	0
130	10	9990	0
140	10	9990	0
150	10	9990	0
160	10	9990	0
170	10	9990	0
180	10	9990	0
190	10	9990	0
200	10	9990	0
210	10	9990	0
220	10	9990	0
230	10	9990	0
240	10	9990	0
250	10	9990	0
260	10	9990	0
270	10	9990	0
280	10	9990	0
290	10	9990	0
300	10	9990	0
310	10	9990	0
320	10	9990	0
330	10	9990	0
340	10	9990	0
350	10	9990	0
360	10	9990	0
370	10	9990	0
380	10	9990	0
390	10	9990	0
400	10	9990	0
410	10	9990	0
420	10	9990	0
430	10	9990	0
440	10	9990	0
450	10	9990	0
460	10	9990	0
470	10	9990	0
480	10	9990	0
490	10	9990	0
500	10	9990	0
510	10	9990	0
520	10	9990	0
530	10	9990	0
540	10	9990	0
550	10	9990	0
560	10	9990	0
570	10	9990	0
580	10	9990	0
590	10	9990	0
600	10	9990	0
610	10	9990	0
620	10	9990	0
630	10	9990	0
640	10	9990	0
650	10	9990	0
660	10	9990	0
670	10	9990	0
680	10	9990	0
690	10	9990	0
700	10	9990	0
710	10	9990	0
720	10	9990	0
730	10	9990	0
740	10	9990	0
750	10	9990	0
760	10	9990	0
770	10	9990	0
780	10	9990	0
790	10	9990	0
800	10	9990	0
810	10	9990	0
820	10	9990	0
830	10	9990	0
840	10	9990	0
850	10	9990	0
860	10	9990	0
870	10	9990	0
880	10	9990	0
890	10	9990	0
900	10	9990	0
910	10	9990	0
920	10	9990	0
930	10	9990	0
940	10	9990	0
950	10	9990	0
960	10	9990	0
970	10	9990	0
980	10	9990	0
990	10	9990	0
1000	10	9990	0
1010	10	9990	0
1020	10	9990	0
1030	10	9990	0
1040	10	9990	0
1050	10	9990	0
1060	10	9990	0
1070	10	9990	0
1080	10	9990	0
1090	10	9990	0
1100	10	9990	0
1110	10	9990	0
1120	10	9990	0
1130	10	9990	0
1140	10	9990	0
1150	10	9990	0
1160	10	9990	0
1170	10	9990	0
1180	10	9990	0
1190	10	9990	0
1200	10	9990	0
1210	10	9990	0
1220	10	9990	0
1230	10	9990	0
1240	10	9990	0
1250	10	9990	0
1260	10	9990	0
1270	10	9990	0
1280	10	9990	0
1290	10	9990	0
1300	10	9990	0
1310	10	9990	0
1320	10	9990	0
1330	10	9990	0
1340	10	9990	0
1350	10	9990	0
1360	10	9990	0
1370	10	9990	0
1380	10	9990	0
1390	10	9990	0
1400	10	9990	0
1410	10	9990	0
1420	10	9990	0
1430	11	9989	0
1440	11	9989	0
1450	11	9989	0
1460	11	9989	0
1470	11	9989	0
1480	11	9989	0
1490	11	9989	0
1500	11	9989	0
1510	11	9989	0
1520	11	9989	0
1530	11	9989	0
1540	11	9989	0
1550	11	9989	0
1560	11	9989	0
1570	11	9989	0
1580	11	9989	0
1590	11	9989	0
1600	11	9989	0
1610	11	9989	0
1620	11	9989	0
1630	11	9989	0
1640	11	9989	0
1650	11	9989	0
1660	11	9989	0
1670	11	9989	0
1680	11	9989	0
1690	11	9989	0
1700	11	9989	0
1710	11	9989	0
1720	11	9989	0
1730	11	9989	0
1740	11	9989	0
1750	11	9989	0
1760	11	9989	0
1770	11	9989	0
1780	11	9989	0
1790	11	9989	0
1800	11	9989	0
1810	11	9989	0
1820	11	9989	0
1830	11	9989	0
1840	11	9989	0
1850	11	9989	0
1860	11	9989	0
1870	11	9989	0
1880	11	9989	0
1890	11	9989	0
1900	11	9989	0
1910	11	9989	0
1920	11	9989	0
1930	11	9989	0
1940	11	9989	0
1950	11	9989	0
1960	11	9989	0
1970	11	9989	0
1980	11	9989	0
1990	11	9989	0
2000	11	9989	0
2010	11	9989	0
2020	11	9989	0
2030	11	9989	0
2040	11	9989	0
2050	11	9989	0
2060	11	9989	0
2070	11	9989	0
2080	11	9989	0
2090	11	9989	0
2100	11	9989	0
2110	11	9989	0
2120	11	9989	0
2130	11	9989	0
2140	11	9989	0
2150	11	9989	0
2160	11	9989	0
2170	11	9989	0
2180	11	9989	0
2190	11	9989	0
2200	11	9989	0
2210	11	9989	0
2220	11	9989	0
2230	11	9989	0
2240	11	9989	0
2250	11	9989	0
2260	11	9989	0
2270	11	9989	0
2280	11	9989	0
2290	11	9989	0
2300	11	9989	0
2310	11	9989	0
2320	11	9989	0
2330	11	9989	0
2340	11	9989	0
2350	11	9989	0
2360	11	9989	0
2370	11	9989	0
2380	11	9989	0
2390	11	9989	0
2400	11	9989	0
2410	11	9989	0
2420	11	9989	0
2430	11	9989	0
2440	11	9989	0
2450	11	9989	0
2460	11	9989	0
2470	11	9989	0
2480	11	9989	0
2490	11	9989	0
2500	11	9989	0
2510	11	9989	0
2520	11	9989	0
2530	11	9989	0
2540	11	9989	0
2550	11	9989	0
2560	11	9989	0
2570	11	9989	0
2580	11	9989	0
2590	11	9989	0
2600	11	9989	0
2610	11	9989	0
2620	11	9989	0
2630	11	9989	0
2640	11	9989	0
2650	11	9989	0
2660	11	9989	0
2670	11	9989	0
2680	11	9989	0
2690	11	9989	0
2700	11	9989	0
2710	11	9989	0
2720	11	9989	0
2730	11	9989	0
2740	11	9989	0
2750	11	9989	0
2760	11	9989	0
2770	11	9989	0
2780	11	9989	0
2790	11	9989	0
2800	11	9989	0
2810	11	9989	0
2820	11	9989	0
2830	11	9989	0
2840	11	9989	0
2850	11	9989	0
2860	11	9989	0
2870	11	9989	0
2880	11	9989	0
2890	11	9989	0
2900	11	9989	0
2910	11	9989	0
2920	11	9989	0
2930	11	9989	0
2940	11	9989	0
2950	11	9989	0
2960	11	9989	0
2970	11	9989	0
2980	11	9989	0
2990	11	9989	0
3000	11	9989	0
3010	11	9989	0
3020	11	9989	0
3030	11	9989	0
3040	11	9989	0
3050	11	9989	0
3060	11	9989	0
